IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
156.243.19.103,9999,443,true,HKG,Asia Pacific,Hong Kong,46,5.52
154.194.64.247,55555,443,true,HKG,Asia Pacific,Hong Kong,41,5.36
156.243.19.118,55555,443,true,HKG,Asia Pacific,Hong Kong,38,5.36
34.150.29.153,443,80,false,HKG,Asia Pacific,Hong Kong,92,5.17
154.194.64.243,55555,443,true,HKG,Asia Pacific,Hong Kong,49,5.16
47.76.33.40,8880,8880,false,HKG,Asia Pacific,Hong Kong,40,5.07
47.238.6.102,2095,2095,false,HKG,Asia Pacific,Hong Kong,38,5.04
156.243.19.114,55555,443,true,HKG,Asia Pacific,Hong Kong,49,5.04
8.218.174.118,80,80,false,HKG,Asia Pacific,Hong Kong,50,4.69
8.210.34.188,8080,8080,false,HKG,Asia Pacific,Hong Kong,42,4.62
154.194.65.14,9999,443,true,HKG,Asia Pacific,Hong Kong,40,4.56
154.194.64.248,55555,443,true,HKG,Asia Pacific,Hong Kong,46,4.50
156.243.19.116,9999,443,true,HKG,Asia Pacific,Hong Kong,38,4.47
47.238.43.79,2083,2083,true,HKG,Asia Pacific,Hong Kong,41,4.46
8.210.3.24,8443,8443,true,HKG,Asia Pacific,Hong Kong,690,4.40
47.238.235.163,443,443,true,HKG,Asia Pacific,Hong Kong,39,4.07
47.243.173.187,2083,2083,true,HKG,Asia Pacific,Hong Kong,512,4.02
154.194.64.252,55555,443,true,HKG,Asia Pacific,Hong Kong,39,3.85
156.243.19.121,55555,443,true,HKG,Asia Pacific,Hong Kong,44,3.70
156.243.19.106,55555,443,true,HKG,Asia Pacific,Hong Kong,51,3.63
149.104.34.146,9999,443,true,HKG,Asia Pacific,Hong Kong,42,3.58
47.238.43.79,2096,2096,true,HKG,Asia Pacific,Hong Kong,46,3.45
8.218.22.210,80,80,false,HKG,Asia Pacific,Hong Kong,36,3.45
8.218.243.95,2095,2095,false,HKG,Asia Pacific,Hong Kong,41,3.37
156.243.19.114,9999,443,true,HKG,Asia Pacific,Hong Kong,44,3.35
38.6.195.82,20002,443,true,HKG,Asia Pacific,Hong Kong,312,3.27
156.243.19.119,55555,443,true,HKG,Asia Pacific,Hong Kong,42,3.24
47.76.33.40,2095,2095,false,HKG,Asia Pacific,Hong Kong,37,3.19
156.243.19.102,55555,443,true,HKG,Asia Pacific,Hong Kong,36,3.17
156.243.19.124,9999,443,true,HKG,Asia Pacific,Hong Kong,36,3.17
154.194.64.246,55555,443,true,HKG,Asia Pacific,Hong Kong,45,3.16
47.238.40.58,2087,2087,true,HKG,Asia Pacific,Hong Kong,48,3.14
47.76.189.214,443,443,true,HKG,Asia Pacific,Hong Kong,44,3.13
35.221.145.209,443,443,true,HKG,Asia Pacific,Hong Kong,87,3.11
154.194.64.245,55555,443,true,HKG,Asia Pacific,Hong Kong,39,3.10
8.210.3.24,2086,2086,false,HKG,Asia Pacific,Hong Kong,690,3.03
156.243.19.109,55555,443,true,HKG,Asia Pacific,Hong Kong,50,2.85
154.194.64.244,55555,443,true,HKG,Asia Pacific,Hong Kong,45,2.82
47.238.40.58,2083,2083,true,HKG,Asia Pacific,Hong Kong,41,2.82
154.194.64.254,55555,443,true,HKG,Asia Pacific,Hong Kong,38,2.80
103.20.222.236,34651,443,true,HKG,Asia Pacific,Hong Kong,52,2.61
47.76.178.146,2053,2053,true,HKG,Asia Pacific,Hong Kong,896,2.52
47.76.178.146,2052,2052,false,HKG,Asia Pacific,Hong Kong,896,2.48
156.243.19.98,9999,443,true,HKG,Asia Pacific,Hong Kong,36,2.41
8.210.66.190,2095,2095,false,HKG,Asia Pacific,Hong Kong,98,2.34
47.76.32.108,2053,2053,true,HKG,Asia Pacific,Hong Kong,549,2.22
47.76.49.246,80,80,false,HKG,Asia Pacific,Hong Kong,44,2.19
8.218.11.90,2086,2086,false,HKG,Asia Pacific,Hong Kong,463,2.12
8.210.34.188,8443,8443,true,HKG,Asia Pacific,Hong Kong,42,2.08
