IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.164.215,80,80,false,SIN,Asia Pacific,Singapore,311,2.07
8.219.67.133,8080,8080,false,SIN,Asia Pacific,Singapore,355,2.05
8.219.139.13,2086,2086,false,SIN,Asia Pacific,Singapore,370,2.05
47.236.205.188,8080,8080,false,SIN,Asia Pacific,Singapore,363,2.02
47.236.170.225,2086,2086,false,SIN,Asia Pacific,Singapore,352,2.02
47.236.164.215,2095,2095,false,SIN,Asia Pacific,Singapore,281,2.01
8.219.191.40,2082,2082,false,SIN,Asia Pacific,Singapore,255,2.00
47.237.86.185,2082,2082,false,SIN,Asia Pacific,Singapore,335,2.00
47.236.237.90,2095,2095,false,SIN,Asia Pacific,Singapore,300,1.99
47.236.172.95,80,80,false,SIN,Asia Pacific,Singapore,304,1.97
47.237.86.185,8080,8080,false,SIN,Asia Pacific,Singapore,349,1.95
47.236.205.188,2052,2052,false,SIN,Asia Pacific,Singapore,375,1.94
47.237.82.15,2087,2087,true,SIN,Asia Pacific,Singapore,255,1.94
47.236.75.152,2095,2095,false,SIN,Asia Pacific,Singapore,298,1.90
8.219.139.13,2095,2095,false,SIN,Asia Pacific,Singapore,372,1.90
8.219.50.180,2082,2082,false,SIN,Asia Pacific,Singapore,280,1.89
47.237.10.1,2052,2052,false,SIN,Asia Pacific,Singapore,344,1.88
47.236.205.188,8880,8880,false,SIN,Asia Pacific,Singapore,363,1.88
47.237.0.31,80,80,false,SIN,Asia Pacific,Singapore,380,1.87
47.245.102.52,2083,2083,true,SIN,Asia Pacific,Singapore,320,1.85
47.236.97.90,2095,2095,false,SIN,Asia Pacific,Singapore,288,1.85
47.236.180.51,8880,8880,false,SIN,Asia Pacific,Singapore,305,1.83
8.222.244.192,2082,2082,false,SIN,Asia Pacific,Singapore,276,1.83
47.236.104.11,8880,8880,false,SIN,Asia Pacific,Singapore,290,1.82
47.236.17.193,80,80,false,SIN,Asia Pacific,Singapore,264,1.77
8.219.132.64,80,80,false,SIN,Asia Pacific,Singapore,315,1.77
47.236.164.215,2096,2096,true,SIN,Asia Pacific,Singapore,271,1.75
47.236.75.152,2052,2052,false,SIN,Asia Pacific,Singapore,297,1.75
47.237.86.185,2087,2087,true,SIN,Asia Pacific,Singapore,337,1.75
47.236.150.13,80,80,false,SIN,Asia Pacific,Singapore,302,1.74
8.219.161.129,8080,8080,false,SIN,Asia Pacific,Singapore,259,1.70
47.236.17.193,2095,2095,false,SIN,Asia Pacific,Singapore,272,1.68
47.236.10.182,8080,8080,false,SIN,Asia Pacific,Singapore,349,1.67
47.236.10.182,2086,2086,false,SIN,Asia Pacific,Singapore,339,1.65
47.236.10.182,2082,2082,false,SIN,Asia Pacific,Singapore,349,1.65
47.236.170.225,2082,2082,false,SIN,Asia Pacific,Singapore,330,1.60
8.222.193.65,2087,2087,true,SIN,Asia Pacific,Singapore,312,1.52
47.236.145.85,443,443,true,SIN,Asia Pacific,Singapore,328,1.52
47.236.189.92,80,80,false,SIN,Asia Pacific,Singapore,339,1.51
47.237.95.156,2086,2086,false,SIN,Asia Pacific,Singapore,274,1.48
8.219.191.40,2086,2086,false,SIN,Asia Pacific,Singapore,360,1.48
8.222.193.65,2096,2096,true,SIN,Asia Pacific,Singapore,270,1.48
47.236.10.182,8880,8880,false,SIN,Asia Pacific,Singapore,342,1.46
8.219.50.180,80,80,false,SIN,Asia Pacific,Singapore,277,1.44
47.236.104.11,8080,8080,false,SIN,Asia Pacific,Singapore,255,1.42
47.237.95.140,2095,2095,false,SIN,Asia Pacific,Singapore,326,1.38
47.237.84.173,8880,8880,false,SIN,Asia Pacific,Singapore,302,1.36
47.237.94.140,2083,2083,true,SIN,Asia Pacific,Singapore,279,1.32
47.245.102.52,2082,2082,false,SIN,Asia Pacific,Singapore,339,1.31
47.236.180.51,8443,8443,true,SIN,Asia Pacific,Singapore,270,1.18
8.219.161.129,8880,8880,false,SIN,Asia Pacific,Singapore,359,1.17
47.237.81.112,2052,2052,false,SIN,Asia Pacific,Singapore,331,1.14
47.236.80.110,8080,8080,false,SIN,Asia Pacific,Singapore,262,1.13
47.236.104.11,2095,2095,false,SIN,Asia Pacific,Singapore,264,1.12
47.245.84.124,2087,2087,true,SIN,Asia Pacific,Singapore,254,1.05
47.237.11.182,8080,8080,false,SIN,Asia Pacific,Singapore,282,1.02
47.236.10.100,2095,2095,false,SIN,Asia Pacific,Singapore,340,0.94
47.236.10.182,2087,2087,true,SIN,Asia Pacific,Singapore,347,0.89
8.222.244.192,8880,8880,false,SIN,Asia Pacific,Singapore,278,0.84
47.236.202.91,8443,8443,true,SIN,Asia Pacific,Singapore,254,0.84
47.236.10.182,8443,8443,true,SIN,Asia Pacific,Singapore,346,0.75
8.219.67.133,8880,8880,false,SIN,Asia Pacific,Singapore,355,0.73
47.236.104.11,2082,2082,false,SIN,Asia Pacific,Singapore,282,0.71
47.236.202.91,2082,2082,false,SIN,Asia Pacific,Singapore,360,0.67
8.222.214.231,2082,2082,false,SIN,Asia Pacific,Singapore,705,0.67
8.222.204.128,443,443,true,SIN,Asia Pacific,Singapore,300,0.66
47.236.202.91,8880,8880,false,SIN,Asia Pacific,Singapore,255,0.56
47.236.202.91,2083,2083,true,SIN,Asia Pacific,Singapore,343,0.51
47.236.10.182,2083,2083,true,SIN,Asia Pacific,Singapore,347,0.48
